,SPGI
1981-11-06,0.08553
1981-11-09,0.08553
1981-11-10,0.08553
1981-11-11,0.084077
1981-11-12,0.082209
1981-11-13,0.08387
1981-11-16,0.083662
1981-11-17,0.083662
1981-11-18,0.083247
1981-11-19,0.083662
1981-11-20,0.084492
1981-11-23,0.086361
1981-11-24,0.085738
1981-11-25,0.088437
1981-11-27,0.089267
1981-11-30,0.089267
1981-12-01,0.089267
1981-12-02,0.08906
1981-12-03,0.088852
1981-12-04,0.089682
1981-12-07,0.089682
1981-12-08,0.090098
1981-12-09,0.08906
1981-12-10,0.088644
1981-12-11,0.088644
1981-12-14,0.088022
1981-12-15,0.088022
1981-12-16,0.087399
1981-12-17,0.088022
1981-12-18,0.085738
1981-12-21,0.086776
1981-12-22,0.087191
1981-12-23,0.086361
1981-12-24,0.086153
1981-12-28,0.085323
1981-12-29,0.085946
1981-12-30,0.085946
1981-12-31,0.085946
1982-01-04,0.08553
1982-01-05,0.084077
1982-01-06,0.083039
1982-01-07,0.081378
1982-01-08,0.080548
1982-01-11,0.08034
1982-01-12,0.078057
1982-01-13,0.075358
1982-01-14,0.075358
1982-01-15,0.078472
1982-01-18,0.079718
1982-01-19,0.079302
1982-01-20,0.079095
1982-01-21,0.078887
1982-01-22,0.078887
1982-01-25,0.078472
1982-01-26,0.078264
1982-01-27,0.07868
1982-01-28,0.079095
1982-01-29,0.081586
1982-02-01,0.082624
1982-02-02,0.083247
1982-02-03,0.083039
1982-02-04,0.081586
1982-02-05,0.082209
1982-02-08,0.082416
1982-02-09,0.081378
1982-02-10,0.081378
1982-02-11,0.081378
1982-02-12,0.082209
1982-02-16,0.082624
1982-02-17,0.081794
1982-02-18,0.083039
1982-02-19,0.082624
1982-02-22,0.082209
1982-02-23,0.080548
1982-02-24,0.082209
1982-02-25,0.082209
1982-02-26,0.082416
1982-03-01,0.082001
1982-03-02,0.083039
1982-03-03,0.081794
1982-03-04,0.081794
1982-03-05,0.07868
1982-03-08,0.078057
1982-03-09,0.078057
1982-03-10,0.079925
1982-03-11,0.080548
1982-03-12,0.079925
1982-03-15,0.080133
1982-03-16,0.080548
1982-03-17,0.08034
1982-03-18,0.080963
1982-03-19,0.081171
1982-03-22,0.081378
1982-03-23,0.081378
1982-03-24,0.082209
1982-03-25,0.083039
1982-03-26,0.083039
1982-03-29,0.083039
1982-03-30,0.083039
1982-03-31,0.083039
1982-04-01,0.082209
1982-04-02,0.082001
1982-04-05,0.080756
1982-04-06,0.082209
1982-04-07,0.082209
1982-04-08,0.083247
1982-04-12,0.083662
1982-04-13,0.084285
1982-04-14,0.0847
1982-04-15,0.086153
1982-04-16,0.085115
1982-04-19,0.08387
1982-04-20,0.081378
1982-04-21,0.081378
1982-04-22,0.0847
1982-04-23,0.086361
1982-04-26,0.087191
1982-04-27,0.086776
1982-04-28,0.086361
1982-04-29,0.08553
1982-04-30,0.085323
1982-05-03,0.08553
1982-05-04,0.087606
1982-05-05,0.087399
1982-05-06,0.086568
1982-05-07,0.088437
1982-05-10,0.088644
1982-05-11,0.089682
1982-05-12,0.090513
1982-05-13,0.089682
1982-05-14,0.090513
1982-05-17,0.089475
1982-05-18,0.088644
1982-05-19,0.089475
1982-05-20,0.090513
1982-05-21,0.091551
1982-05-24,0.091343
1982-05-25,0.08989
1982-05-26,0.088437
1982-05-27,0.086984
1982-05-28,0.087191
1982-06-01,0.086361
1982-06-02,0.085323
1982-06-03,0.084077
1982-06-04,0.084492
1982-06-07,0.084285
1982-06-08,0.083662
1982-06-09,0.081794
1982-06-10,0.082209
1982-06-11,0.084285
1982-06-14,0.083247
1982-06-15,0.083039
1982-06-16,0.083247
1982-06-17,0.083247
1982-06-18,0.083039
1982-06-21,0.083039
1982-06-22,0.082624
1982-06-23,0.0847
1982-06-24,0.087191
